Age,Male,Female,Intersex,Total
Total,"7,352,137","7,478,880",683,"14,831,700"
0,"189,394","187,086",20,"376,500"
1,"189,211","185,960",12,"375,183"
2,"184,420","182,751",15,"367,186"
3,"179,986","180,051",9,"360,046"
4,"173,695","171,659",8,"345,362"
0 - 4,"916,706","907,507",64,"1,824,277"
5,"164,569","163,044",7,"327,620"
6,"161,668","164,427",9,"326,104"
7,"159,085","159,146",8,"318,239"
8,"153,408","155,735",9,"309,152"
9,"155,445","158,668",11,"314,124"
05 . 09,"794,175","801,020",44,"1,595,239"
10,"161,128","161,037",8,"322,173"
11,"135,465","142,539",10,"278,014"
12,"152,684","154,434",11,"307,129"
13,"145,748","153,168",10,"298,926"
14,"137,009","142,351",12,"279,372"
Oct-14,"732,034","753,529",51,"1,485,614"
15,"130,194","138,346",11,"268,551"
16,"123,986","136,439",7,"260,432"
17,"132,025","142,869",9,"274,903"
18,"116,659","133,803",13,"250,475"
19,"133,061","162,585",16,"295,662"
15-19,"635,925","714,042",56,"1,350,023"
20,"143,883","186,284",17,"330,184"
21,"146,911","181,648",26,"328,585"
22,"157,477","194,973",15,"352,465"
23,"175,801","213,950",32,"389,783"
24,"174,748","202,155",23,"376,926"
20-24,"798,820","979,010",113,"1,777,943"
25,"194,697","211,888",34,"406,619"
26,"166,474","185,398",16,"351,888"
27,"170,856","180,315",16,"351,187"
28,"148,444","160,608",9,"309,061"
29,"156,799","163,142",21,"319,962"
25-29,"837,270","901,351",96,"1,738,717"
30,"194,862","203,639",40,"398,541"
31,"130,479","129,065",22,"259,566"
32,"164,914","166,777",15,"331,706"
33,"127,894","131,097",7,"258,998"
34,"121,950","122,076",15,"244,041"
30-34,"740,099","752,654",99,"1,492,852"
35,"151,622","141,247",15,"292,884"
36,"107,662","102,890",13,"210,565"
37,"105,272","95,671",13,"200,956"
38,"91,553","86,932",8,"178,493"
39,"94,176","85,261",6,"179,443"
35-39,"550,285","512,001",55,"1,062,341"
40,"118,519","102,184",10,"220,713"
41,"92,142","78,947",7,"171,096"
42,"89,000","75,030",4,"164,034"
43,"73,709","64,649",3,"138,361"
44,"60,268","52,513",2,"112,783"
40-44,"433,638","373,323",26,"806,987"
45,"91,592","73,636",5,"165,233"
46,"61,499","50,817",3,"112,319"
47,"64,542","50,955",4,"115,501"
48,"48,140","39,198",6,"87,344"
49,"52,902","41,234",2,"94,138"
45-49,"318,675","255,840",20,"574,535"
50,"63,491","52,634",19,"116,144"
51,"42,722","33,397",4,"76,123"
52,"42,998","34,069",2,"77,069"
53,"31,529","26,186",-,"57,715"
54,"36,465","28,267",3,"64,735"
50-54,"217,205","174,553",28,"391,786"
55,"36,596","27,532",-,"64,128"
56,"35,191","28,803",3,"63,997"
57,"30,393","27,042",1,"57,436"
58,"24,737","20,880",2,"45,619"
59,"26,931","22,545",4,"49,480"
55-59,"153,848","126,802",10,"280,660"
60,"29,522","26,875",2,"56,399"
61,"19,368","17,128",-,"36,496"
62,"17,472","14,489",-,"31,961"
63,"15,289","13,521",5,"28,815"
64,"11,830","10,261",-,"22,091"
60-64,"93,481","82,274",7,"175,762"
65,"16,092","15,027",2,"31,121"
66,"10,036","9,564",1,"19,601"
67,"14,264","12,976",1,"27,241"
68,"7,561","6,716",-,"14,277"
69,"9,809","9,722",1,"19,532"
65-69,"57,762","54,005",5,"111,772"
70,"12,665","14,460",-,"27,125"
71,"7,527","7,898",2,"15,427"
72,"6,975","6,360",-,"13,335"
73,"5,443","5,143",-,"10,586"
74,"4,988","5,397",-,"10,385"
70-74,"37,598","39,258",2,"76,858"
75,"4,519","5,684",1,"10,204"
76,"3,680","5,001",-,"8,681"
77,"3,268","3,967",-,"7,235"
78,"2,488","2,521",-,"5,009"
79,"2,551","3,820",-,"6,371"
75-79,"16,506","20,993",1,"37,500"
80,"3,500","5,911",-,"9,411"
81,"1,650","2,709",2,"4,361"
82,"1,702","2,038",-,"3,740"
83,"1,681","2,163",-,"3,844"
84,"1,383","2,254",1,"3,638"
80-84,"9,916","15,075",3,"24,994"
85,"1,371","2,171",-,"3,542"
86,979,"1,491",-,"2,470"
87,975,"1,554",-,"2,529"
88,566,818,-,"1,384"
89,905,"1,920",-,"2,825"
85-89,"4,796","7,954",-,"12,750"
90,670,"1,675",-,"2,345"
91,441,915,-,"1,356"
92,326,557,-,883
93,257,456,-,713
94,208,478,-,686
90-94,"1,902","4,081",-,"5,983"
95,296,726,-,"1,022"
96,166,385,-,551
97,197,375,-,572
98,110,246,-,356
99,151,460,-,611
95-99,920,"2,192",-,"3,112"
100+,381,"1,268",-,"1,649"
Not Stated,195,148,3,346
