County,Total,Male,Female
KENYA,"20,101","17,747","2,348"
Rural,"5,520","4,677",841
Urban,"14,581","13,070","1,507"
MOMBASA,"1,809","1,579",230
KWALE,206,198,8
KILIFI,305,265,40
TANA RIVER,133,106,27
LAMU,231,153,78
TAITA/TAVETA,66,49,17
GARISSA,139,122,17
WAJIR,125,97,28
MANDERA,82,62,20
MARSABIT,359,292,67
ISIOLO,-,-,-
MERU,734,702,32
THARAKA-NITHI,125,102,23
EMBU,427,399,28
KITUI,280,242,38
MACHAKOS,235,214,21
MAKUENI,250,220,30
NYANDARUA,23,23,-
NYERI,259,231,28
KIRINYAGA,147,141,6
MURANG'A,167,134,33
KIAMBU,626,570,56
TURKANA,386,336,50
WEST POKOT,248,214,34
SAMBURU,278,270,8
TRANS NZOIA,296,290,6
UASIN GISHU,669,616,53
ELGEYO/MARAKWET,19,18,1
NANDI,130,117,13
BARINGO,78,76,2
LAIKIPIA,221,211,10
NAKURU,629,572,57
NAROK,222,214,8
KAJIADO,637,583,54
KERICHO,68,63,5
BOMET,48,42,6
KAKAMEGA,219,212,7
VIHIGA,149,74,75
BUNGOMA,262,243,19
BUSIA,185,175,10
SIAYA,308,250,58
KISUMU,451,315,136
HOMA BAY,276,245,31
MIGORI,405,302,103
KISII,290,253,37
NYAMIRA,156,97,59
NAIROBI,"6,743","6,064",679
